East Flanders;1486722;
West Flanders;1181828;
Antwerp;1824136;
Limburg;863425;
Flemish Brabant;1121693;
Walloon Brabant;396.840;
Hainaut;1337157;
Namur;489204;
Liège;1098688;
Luxembourg;280327;
Brussels-Capital;1187890;
